Course,Component
AED 270 Introduction to Visual Culture and Learning, 10-15%
ANT 225 Climate Change Societies and Cultures,
ANT 410/530 Human Dimensions of Climate Change,
ANT 451 Native Cultures and Identities,10%
ANT 464 Ecological Anthropology,
ANT 466 Economic Anthropology,
ANT 475 Environmental Archaeology,
ANT 500 Advanced Social Theory,10%
BIO 100 Basic Biology - ,
BIO 222 Biology the Living Science,
BIO 225 Field Natural History of Maine, 10% - past and future climate change.
BIO 319 General Ecology,
BIO 329 Vertebrate Biology - ,10%
BIO 452 Plant Physiology,
BIO 468 Lake Ecology,
BIO 476 Paleoecology,
BIO 525 Community Ecology, 10% - major climate changes expected and how organisms respond to climate change.
BUA 220 Legal Environment of Business,10%
BUA 325 Principles of Management and Organization,5%
BUA 327 Business and Society,15%
BUA 328 Canadian/U.S. Business: A Comparison,40%
BUA 344 Entrepreneurship and New Venture Creation,5%
BUA 449 Strategic Management,5%
BUA 596 Sustainable Development in the Amazon Rainforest,100%
"BUA 645/ERS 602 Abrupt Climate Change, Business, and Policy",100%
CET 412 Sustainable Populations and Environmental Design and Construction,50%
CHB 498 Combustion and Fuel Processing,
CHE 498/598 Forest Biorefinery,
CHF 433 Adolescence,2%
CHF 434 Adult Development and Aging,5%
CHF 451 Family Relationships,2%
CHY 123 Introduction to Chemistry Laboratory, One laboratory exercise.,
"CHY 133 Chemistry for Civil, Electrical, and Mechanical Engineers Laboratory", One laboratory exercise.,
CHY124 The Molecular Basis of Chemical Change Laboratory, One laboratory exercise.,
CIE 225 Transportation Engineering, 20 minutes per semester.,
CIE 365 Soil Mechanics,,
CIE 424 Urban Transport Planning, 30 minutes per semester.,
CIE 425 Transportation Safety,50 minutes per semester.,
CIE 567 Ground Improvement Techniques,,
CMJ 404 Communicating Risk, Climate change is one of the 9 case studies discussed in the class, and also used as an example throughout the course. 
CMJ 498 Science and the News Media,30%,
ECO 377 Natural Resource Economics,,
ECO 405 Sustainable Energy Economics and Policy,,
ECO 450 International Environmental Economics and Policy,15%,
ECO 472 Environmental Economics,,
ECO 572 Environmental and Resource Economics,,
EES 100 Human Population and the Global Environment,15%,
EES 117 Introduction to Ecology and Environmental Science,5%
EES 140/141 Soil Science and Soil Science Laboratory,50%
EES 217 The Acadia Lessons Project: Field Problems in EES,20%
EES 397 Biophysical and Ecological Economics,10%
EES 489 Critical Issues in Ecology and Environmental Sciences Policy,20%
EES 490 Senior Seminar,
ENG 101 College Composition,
ENG 215/317 Business and Technical Writing,
ENG 418 Science Writing,20%
ERS 101 Introduction to Geology,25%
ERS 102 Environmental Geology of Maine,
ERS 108 Beaches and Coasts,
ERS 191 Energy in the Earth System,75%
ERS 200 Earth Systems,50%
ERS 201 Global Environmental Change,100%
ERS 230 Geomatics, Developing the geospatial analysis tools for detecting and attributing changes in the earth system.
ERS 315 Principles of Sedimentology and Stratigraphy,25%
ERS 317 Introduction to Geophysics,20%
ERS 350 Freshwater Flows,
ERS 441/551 Glaciers and our Landscape,
ERS 461 Fluvial Processes in Geomorphology,
ERS 532 Advanced Sedimentology,25%
ERS 534 Coastal Sedimentology,50%
